County name,County FIPS code,Infant center-based price: 2018 ($),Infant center-based price: 2023 (estimated) ($),Infant center-based price as share of family income: 2018 (%),Infant home-based price: 2018 ($),Infant home-based price: 2023 (estimated) ($),Infant home-based price as share of family income: 2018 (%),Toddler center-based price: 2018 ($),Toddler center-based price: 2023 (estimated) ($),Toddler center-based price as share of family income: 2018 (%),Toddler home-based price: 2018 ($),Toddler home-based price: 2023 (estimated) ($),Toddler home-based price as share of family income: 2018 (%),Preschool center-based price: 2018 ($),Preschool center-based price: 2023 (estimated) ($),Preschool center-based price as share of family income: 2018 (%),Preschool home-based price: 2018 ($),Preschool home-based price: 2023 (estimated) ($),Preschool home-based price as share of family income: 2018 (%),School-age center-based price: 2018 ($),School-age center-based price: 2023 (estimated) ($),School-age center-based price as share of family income: 2018 (%),School-age home-based price: 2018 ($),School-age home-based price:  2023 (estimated) ($),School-age home-based price as share of family income: 2018 (%),Women's labor force participation rate (%),Women's median earnings ($),Median family income ($),Percent of families in poverty (%),Total population,Percent Asian (%),Percent Black (%),Percent Hispanic (of any race) (%),Percent White (%)
Franklin,39049,12740.00,14995.64,17.40,8510.84,10017.70,11.63,11180.00,13159.44,15.27,8216.00,9670.66,11.22,9880.00,11629.28,13.50,7800.00,9181.01,10.65,6240.00,7344.81,8.52,6500.00,7650.84,8.88,77.00,30628.00,73207.00,11.70,1275333.00,5.10,22.20,5.40,66.90
Fulton,39051,7481.76,8806.42,10.89,7331.48,8629.53,10.67,6760.00,7956.87,9.84,6795.88,7999.11,9.89,6240.00,7344.81,9.08,6240.00,7344.81,9.08,3250.00,3825.42,4.73,5468.84,6437.11,7.96,78.20,25207.00,68697.00,6.90,42305.00,0.40,0.40,8.60,93.20
Gallia,39053,7481.76,8806.42,12.85,7331.48,8629.53,12.59,6760.00,7956.87,11.61,6795.88,7999.11,11.67,6240.00,7344.81,10.72,6240.00,7344.81,10.72,3250.00,3825.42,5.58,5468.84,6437.11,9.39,63.60,22578.00,58225.00,17.10,30195.00,0.70,2.40,1.30,94.40
Geauga,39055,12740.00,14995.64,13.46,8510.84,10017.70,8.99,11180.00,13159.44,11.81,8216.00,9670.66,8.68,9880.00,11629.28,10.44,7800.00,9181.01,8.24,6240.00,7344.81,6.59,6500.00,7650.84,6.87,75.10,30038.00,94654.00,4.00,93961.00,0.60,1.20,1.40,96.70
Greene,39057,12740.00,14995.64,14.75,8510.84,10017.70,9.85,11180.00,13159.44,12.94,8216.00,9670.66,9.51,9880.00,11629.28,11.44,7800.00,9181.01,9.03,6240.00,7344.81,7.22,6500.00,7650.84,7.52,71.40,26570.00,86393.00,8.50,165811.00,3.00,7.20,2.80,85.90
Guernsey,39059,7481.76,8806.42,13.86,7331.48,8629.53,13.58,6760.00,7956.87,12.52,6795.88,7999.11,12.59,6240.00,7344.81,11.56,6240.00,7344.81,11.56,3250.00,3825.42,6.02,5468.84,6437.11,10.13,65.80,22363.00,53993.00,16.00,39274.00,0.40,1.20,1.20,95.20
Hamilton,39061,12740.00,14995.64,16.96,8510.84,10017.70,11.33,11180.00,13159.44,14.89,8216.00,9670.66,10.94,9880.00,11629.28,13.15,7800.00,9181.01,10.39,6240.00,7344.81,8.31,6500.00,7650.84,8.65,76.00,29709.00,75107.00,11.50,812037.00,2.60,25.70,3.20,67.50
Hancock,39063,9412.00,11078.41,12.93,7652.84,9007.79,10.52,8580.00,10099.11,11.79,7280.00,8568.94,10.00,7540.00,8874.97,10.36,6883.24,8101.93,9.46,5200.00,6120.67,7.15,6240.00,7344.81,8.58,76.80,23837.00,72769.00,7.60,75690.00,1.90,1.50,5.30,92.40
Hardin,39065,7481.76,8806.42,12.30,7331.48,8629.53,12.06,6760.00,7956.87,11.12,6795.88,7999.11,11.17,6240.00,7344.81,10.26,6240.00,7344.81,10.26,3250.00,3825.42,5.34,5468.84,6437.11,8.99,70.30,20733.00,60816.00,12.50,31542.00,0.80,0.70,1.60,96.20
Harrison,39067,12740.00,14995.64,21.95,8510.84,10017.70,14.66,11180.00,13159.44,19.26,8216.00,9670.66,14.15,9880.00,11629.28,17.02,7800.00,9181.01,13.44,6240.00,7344.81,10.75,6500.00,7650.84,11.20,62.00,21620.00,58044.00,11.10,15307.00,0.50,2.20,1.00,95.60
